PLAYER_NAME_QUERY,SEASON,mid,rim,three
Eric Gordon,2022-23,1.8,43.6,54.5
Eric Gordon,2023-24,1.8,34.0,64.2
Eric Gordon,2024-25,2.5,30.4,67.2
Eric Gordon,2025-26,0.0,33.3,66.7
Jared McCain,2024-25,6.6,44.9,48.5
Jared McCain,2025-26,9.4,37.1,53.5
Jaylen Brown,2022-23,14.9,50.0,35.1
Jaylen Brown,2023-24,14.6,52.7,32.6
Jaylen Brown,2024-25,14.3,53.7,32.0
Jaylen Brown,2025-26,23.7,50.1,26.2
Joel Embiid,2022-23,26.4,58.5,15.1
Joel Embiid,2023-24,30.0,53.7,16.3
Joel Embiid,2024-25,26.3,49.2,24.4
Joel Embiid,2025-26,30.7,46.5,22.8
Kentavious Caldwell-Pope,2022-23,21.7,28.2,50.2
Kentavious Caldwell-Pope,2023-24,18.4,29.1,52.5
Kentavious Caldwell-Pope,2024-25,19.1,20.2,60.7
Kentavious Caldwell-Pope,2025-26,22.4,30.1,47.5
Kyle Lowry,2022-23,7.6,28.7,63.7
Kyle Lowry,2023-24,6.4,27.3,66.3
Kyle Lowry,2024-25,7.7,17.1,75.2
Kyle Lowry,2025-26,0.0,0.0,100.0
LeBron James,2022-23,17.1,52.0,30.8
LeBron James,2023-24,13.0,58.4,28.6
LeBron James,2024-25,17.2,51.7,31.2
LeBron James,2025-26,17.2,56.4,26.4
Tyrese Maxey,2022-23,11.8,47.8,40.4
Tyrese Maxey,2023-24,10.4,49.5,40.1
Tyrese Maxey,2024-25,8.8,47.4,43.8
Tyrese Maxey,2025-26,12.1,48.0,40.0
VJ Edgecombe,2025-26,13.2,45.9,40.9
