CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,DEFENSE_CATEGORY,SEASON,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT
1627759,Jaylen Brown,1610612738,BOS,G-F,26.0,67,67,0.34,103.0,293.0,0.352,0.364,-0.012,3 Pointers,2022-23,,,,,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,61,0.322,91.0,280.0,0.325,0.362,-0.037,3 Pointers,2022-23,,,,,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,29.0,66,64,0.218,89.0,276.0,0.322,0.361,-0.039,3 Pointers,2022-23,,,,,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,30.0,76,73,0.358,91.0,256.0,0.355,0.364,-0.008,3 Pointers,2022-23,,,,,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,38.0,55,55,0.407,93.0,255.0,0.365,0.355,0.01,3 Pointers,2022-23,,,,,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,22.0,60,59,0.42,86.0,238.0,0.361,0.36,0.001,3 Pointers,2022-23,,,,,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,26.0,42,34,0.251,30.0,81.0,0.37,0.356,0.015,3 Pointers,2022-23,,,,,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,29.0,66,66,0.782,,,,,-0.036,2 Pointers,2022-23,516.0,990.0,0.521,0.557,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,62,0.678,,,,,0.027,2 Pointers,2022-23,335.0,589.0,0.569,0.542,,,,,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,26.0,67,67,0.66,,,,,-0.027,2 Pointers,2022-23,296.0,570.0,0.519,0.547,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,30.0,76,76,0.642,,,,,0.059,2 Pointers,2022-23,271.0,460.0,0.589,0.531,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,38.0,55,55,0.593,,,,,-0.031,2 Pointers,2022-23,195.0,371.0,0.526,0.557,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,22.0,60,59,0.58,,,,,0.016,2 Pointers,2022-23,181.0,328.0,0.552,0.536,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,26.0,42,40,0.749,,,,,-0.04,2 Pointers,2022-23,121.0,242.0,0.5,0.54,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,29.0,66,66,0.423,,,,,-0.014,Less Than 6Ft,2022-23,,,,,338.0,535.0,0.632,0.645,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,62,0.403,,,,,0.036,Less Than 6Ft,2022-23,,,,,234.0,350.0,0.669,0.632,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,26.0,67,67,0.378,,,,,-0.042,Less Than 6Ft,2022-23,,,,,193.0,326.0,0.592,0.634,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,30.0,76,73,0.348,,,,,0.087,Less Than 6Ft,2022-23,,,,,176.0,249.0,0.707,0.62,,,,,,,,
2544,LeBron James,1610612747,LAL,F,38.0,55,53,0.387,,,,,-0.057,Less Than 6Ft,2022-23,,,,,142.0,242.0,0.587,0.643,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,22.0,60,53,0.309,,,,,0.021,Less Than 6Ft,2022-23,,,,,114.0,175.0,0.651,0.631,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,26.0,42,39,0.437,,,,,-0.036,Less Than 6Ft,2022-23,,,,,84.0,141.0,0.596,0.632,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,29.0,66,66,0.528,,,,,-0.023,Less Than 10Ft,2022-23,,,,,,,,,388.0,669.0,0.58,0.603,,,,
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,62,0.514,,,,,0.038,Less Than 10Ft,2022-23,,,,,,,,,280.0,447.0,0.626,0.588,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,26.0,67,67,0.482,,,,,-0.04,Less Than 10Ft,2022-23,,,,,,,,,231.0,416.0,0.555,0.596,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,30.0,76,75,0.462,,,,,0.085,Less Than 10Ft,2022-23,,,,,,,,,218.0,331.0,0.659,0.574,,,,
2544,LeBron James,1610612747,LAL,F,38.0,55,54,0.455,,,,,-0.026,Less Than 10Ft,2022-23,,,,,,,,,164.0,285.0,0.575,0.601,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,22.0,60,56,0.399,,,,,0.005,Less Than 10Ft,2022-23,,,,,,,,,133.0,226.0,0.588,0.583,,,,
1629731,Dean Wade,1610612739,CLE,F-C,26.0,42,39,0.573,,,,,-0.067,Less Than 10Ft,2022-23,,,,,,,,,96.0,185.0,0.519,0.586,,,,
203954,Joel Embiid,1610612755,PHI,C-F,29.0,66,66,0.357,,,,,-0.012,Greater Than 15Ft,2022-23,,,,,,,,,,,,,163.0,452.0,0.361,0.373
1627759,Jaylen Brown,1610612738,BOS,G-F,26.0,67,67,0.421,,,,,-0.015,Greater Than 15Ft,2022-23,,,,,,,,,,,,,131.0,363.0,0.361,0.376
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,62,0.387,,,,,-0.049,Greater Than 15Ft,2022-23,,,,,,,,,,,,,109.0,336.0,0.324,0.373
2544,LeBron James,1610612747,LAL,F,38.0,55,55,0.494,,,,,0.0,Greater Than 15Ft,2022-23,,,,,,,,,,,,,112.0,309.0,0.362,0.363
