CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,SEASON
203954,Joel Embiid,1610612755,PHI,C-F,29.0,66,66,1.0,605,1266,0.478,0.496,-0.018,2022-23
1629014,Anfernee Simons,1610612757,POR,G,24.0,62,62,1.0,426,869,0.49,0.472,0.018,2022-23
1627759,Jaylen Brown,1610612738,BOS,G-F,26.0,67,67,1.0,399,863,0.462,0.476,-0.014,2022-23
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,30.0,76,76,1.0,362,716,0.506,0.464,0.041,2022-23
2544,LeBron James,1610612747,LAL,F,38.0,55,55,1.0,288,626,0.46,0.483,-0.023,2022-23
1630178,Tyrese Maxey,1610612755,PHI,G,22.0,60,60,1.0,267,566,0.472,0.461,0.011,2022-23
1629731,Dean Wade,1610612739,CLE,F-C,26.0,42,42,1.0,151,323,0.467,0.474,-0.006,2022-23
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,1.0,367,833,0.441,0.5,-0.059,2023-24
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,70,70,1.0,369,805,0.458,0.464,-0.006,2023-24
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,70,1.0,338,755,0.448,0.471,-0.024,2023-24
2544,LeBron James,1610612747,LAL,F,39.0,70,70,1.0,328,710,0.462,0.48,-0.018,2023-24
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,74,74,1.0,309,696,0.444,0.465,-0.022,2023-24
1629014,Anfernee Simons,1610612757,POR,G,25.0,46,46,1.0,335,618,0.542,0.475,0.067,2023-24
1629731,Dean Wade,1610612739,CLE,F-C,27.0,52,52,1.0,206,435,0.474,0.479,-0.005,2023-24
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,70,1.0,411,814,0.505,0.461,0.044,2024-25
2544,LeBron James,1610612747,LAL,F,40.0,70,70,1.0,344,776,0.443,0.469,-0.025,2024-25
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,63,1.0,346,737,0.469,0.47,0.0,2024-25
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,77,77,1.0,330,664,0.497,0.463,0.034,2024-25
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,52,1.0,284,626,0.454,0.458,-0.004,2024-25
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,59,1.0,232,499,0.465,0.469,-0.004,2024-25
1641737,Adem Bona,1610612755,PHI,F,22.0,51,51,1.0,225,490,0.459,0.478,-0.019,2024-25
203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,1.0,142,301,0.472,0.481,-0.01,2024-25
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,22,1.0,56,131,0.427,0.483,-0.056,2024-25
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,74,74,1.0,453,959,0.472,0.465,0.007,2025-26
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,70,70,1.0,408,878,0.465,0.458,0.006,2025-26
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,71,71,1.0,340,805,0.422,0.464,-0.042,2025-26
203954,Joel Embiid,1610612755,PHI,C-F,32.0,38,38,1.0,277,622,0.445,0.486,-0.041,2025-26
1641737,Adem Bona,1610612755,PHI,F,23.0,70,70,1.0,275,575,0.478,0.488,-0.01,2025-26
2544,LeBron James,1610612747,LAL,F,41.0,60,60,1.0,277,568,0.488,0.472,0.015,2025-26
1629731,Dean Wade,1610612739,CLE,F-C,29.0,58,58,1.0,251,564,0.445,0.468,-0.023,2025-26
1629014,Anfernee Simons,1610612741,CHI,G,27.0,55,55,1.0,229,489,0.468,0.456,0.012,2025-26
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,33.0,50,50,1.0,157,286,0.549,0.463,0.086,2025-26
1630574,Ariel Hukporti,1610612752,NYK,C,24.0,50,50,1.0,93,243,0.383,0.476,-0.094,2025-26
