GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_NAME_QUERY,SEASON
Overall,2022-23,439,913,0.481,160,369,0.434,0.568,38,0.444,0.556,0.725,0.275,0.547,0.453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tyrese Maxey,2022-23
Overall,2023-24,638,1419,0.45,212,569,0.373,0.524,90,0.343,0.657,0.599,0.401,0.428,0.572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tyrese Maxey,2023-24
Overall,2024-25,477,1091,0.437,161,478,0.337,0.511,61,0.307,0.693,0.491,0.509,0.369,0.631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tyrese Maxey,2024-25
Overall,2025-26,694,1501,0.462,220,599,0.367,0.536,70,0.378,0.622,0.595,0.405,0.447,0.553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tyrese Maxey,2025-26
Overall,2022-23,728,1328,0.548,66,200,0.33,0.573,91,0.6,0.4,0.894,0.106,0.626,0.374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Joel Embiid,2022-23
Overall,2023-24,450,851,0.529,54,139,0.388,0.561,52,0.533,0.467,0.833,0.167,0.569,0.431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Joel Embiid,2023-24
Overall,2024-25,140,315,0.444,23,77,0.299,0.481,14,0.538,0.462,0.957,0.043,0.607,0.393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Joel Embiid,2024-25
Overall,2025-26,341,697,0.489,53,159,0.333,0.527,39,0.608,0.392,0.868,0.132,0.648,0.352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Joel Embiid,2025-26
Overall,2022-23,609,1219,0.5,121,377,0.321,0.549,47,0.395,0.605,0.628,0.372,0.442,0.558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LeBron James,2022-23
Overall,2023-24,685,1269,0.54,149,363,0.41,0.599,59,0.435,0.565,0.685,0.315,0.489,0.511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LeBron James,2023-24
Overall,2024-25,651,1270,0.513,149,396,0.376,0.571,51,0.382,0.618,0.691,0.309,0.453,0.547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LeBron James,2024-25
Overall,2025-26,473,919,0.515,77,243,0.317,0.557,45,0.518,0.482,0.649,0.351,0.539,0.461,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LeBron James,2025-26
Overall,2022-23,679,1383,0.491,163,487,0.335,0.55,77,0.477,0.523,0.687,0.313,0.527,0.473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jaylen Brown,2022-23
Overall,2023-24,627,1256,0.499,145,410,0.354,0.557,72,0.429,0.571,0.634,0.366,0.477,0.523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jaylen Brown,2023-24
Overall,2024-25,518,1118,0.463,116,358,0.324,0.515,68,0.386,0.614,0.724,0.276,0.461,0.539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jaylen Brown,2024-25
Overall,2025-26,736,1543,0.477,140,404,0.347,0.522,93,0.324,0.676,0.536,0.464,0.364,0.636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jaylen Brown,2025-26
Overall,2025-26,451,1030,0.438,149,421,0.354,0.51,54,0.437,0.563,0.812,0.188,0.561,0.439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,VJ Edgecombe,2025-26
